id,Tên,Đặc Điểm,Thời kỳ,Công dụng / Ý nghĩa
79,Tem và áp phích tuyên truyền,"Áp phích in phong phú màu sắc, tem bưu chính mang thông điệp kháng chiến.
Sử dụng rộng rãi để cổ vũ tinh thần và vận động nhân dân.
Tài liệu đồ họa có giá trị nghiên cứu văn hóa chính trị.",1945–1975,"Công cụ tuyên truyền, vận động và truyền thông chính trị."
80,Máy may chân đá,"Máy may cơ khí điều khiển bằng bàn đạp, khung sắt chắc chắn.
Góp phần phát triển làng nghề và công nghiệp nhẹ tại địa phương.
Thường tồn tại trong các hộ gia đình và xưởng may nhỏ.",1950s–1980s,"Hỗ trợ sản xuất quần áo, phát triển nghề thủ công và nghề công nghiệp tại địa phương."
81,Bản đồ chiến dịch,"Bản đồ vẽ tay hoặc in, thể hiện khu vực tác chiến, đường tiến quân và vị trí đơn vị.
Dùng để hoạch định kế hoạch và điều phối lực lượng.
Lưu giữ trong kho tư liệu quân đội.",Kháng chiến (1945–1975),"Tài liệu quân sự để chỉ huy chiến dịch, nghiên cứu lịch sử tác chiến."
82,Áo bà ba và quần đùm,"Trang phục đơn giản, vải cotton, phù hợp khí hậu nhiệt đới.
Được sử dụng rộng rãi trong nông thôn và khu kháng chiến.
Thể hiện cuộc sống lao động và phong cách dân gian.",Hiện đại,"Trang phục sinh hoạt, biểu tượng văn hóa dân gian và tiện dụng trong lao động."
83,"Hộp cơm, ấm nước cá nhân","Bộ dụng cụ cá nhân bằng kim loại hoặc nhôm, gồm hộp cơm và ấm nước.
Dùng phổ biến trong quân đội và dân thường thời chiến tranh.
Thiết kế bền, tiện lợi khi di chuyển.",1945–1975,Dụng cụ sinh hoạt cá nhân; minh chứng đời sống chiến sĩ và dân thường trong chiến tranh.
84,Tem bưu chính kháng chiến,"Tem in đặc biệt, nội dung tuyên truyền hoặc đánh dấu vùng kháng chiến.
Phát hành trong điều kiện khắc nghiệt, phục vụ liên lạc nội bộ.
Có giá trị sưu tầm và nghiên cứu.",Kháng chiến,Công cụ liên lạc và tuyên truyền; dấu ấn văn hóa thời chiến.
85,Đĩa than ghi âm lịch sử,"Đĩa than lưu trữ âm thanh phát thanh, bài hát và lời kêu gọi.
Giá trị tư liệu về âm nhạc và truyền thông thời cận đại.
Thường được phục chế trong bảo tàng và lưu trữ.",1945–1980s,Lưu trữ tư liệu âm thanh lịch sử; nguồn nguyên liệu cho nghiên cứu văn hóa âm nhạc.
86,Bản đồ hành chính đổi mới,"Bản đồ in thể hiện đơn vị hành chính mới, qui hoạch và phân khu phát triển.
Phản ánh chính sách hành chính và kế hoạch phát triển kinh tế.
Dùng trong quản lý và hoạch định vùng.",Đổi mới (1986 – nay),Tài liệu hành chính; minh họa sự thay đổi quản lý và định hướng phát triển.
87,Tài liệu cải cách ruộng đất,"Sổ sách, văn bản liên quan đến phân phối và quản lý ruộng đất.
Đề cập chính sách, danh sách hộ và quyết định địa phương.
Là tư liệu nhạy cảm nhưng quan trọng cho nghiên cứu xã hội.",Sau 1945,Tài liệu chính sách xã hội và đất đai; nguồn nghiên cứu về biến động xã hội.
88,"Máy ảnh phim, máy quay tư liệu","Máy ảnh phim cơ, ống kính thủ công, thân kim loại, dùng phim 35mm/16mm.
Ghi lại tư liệu chiến tranh, đời sống và sự kiện chính trị.
Nhiều bản gốc được lưu trong kho tư liệu báo chí.",1945–1980s,Công cụ ghi chép hiện thực; nguồn tư liệu trực quan cho lịch sử và báo chí.
89,"Sổ tay, nhật ký cá nhân liệt sĩ","Sổ tay nhỏ với ghi chép ngày tháng, suy nghĩ và tên đồng đội.
Tư liệu mang tính cá nhân, thể hiện góc nhìn con người trong chiến tranh.
Giá trị nhân văn cao khi phục vụ nghiên cứu ký ức lịch sử.",Kháng chiến,Tư liệu cá nhân; giúp hiểu sâu về tâm lý và đời sống chiến sĩ.
90,Băng đĩa ca khúc kháng chiến,"Băng cối, cassette, đĩa than chứa ca khúc tuyên truyền và nhạc truyền thống.
Phổ biến rộng rãi trong đời sống văn hóa kháng chiến.
Góp phần xây dựng tinh thần thời đại.",1945–1980s,Tài liệu âm nhạc lịch sử; nguồn tư liệu văn hóa và truyền thông.
91,Poster vận động sản xuất thời bao cấp,"Áp phích tuyên truyền cổ động tăng năng suất, in sáng màu và khẩu hiệu.
Thể hiện chính sách kinh tế và chiến dịch xã hội thời bao cấp.
Lưu giữ như minh chứng văn hóa chính trị.",Bao cấp (1975–1986),Công cụ tuyên truyền kinh tế và vận động tập thể; minh chứng cho thời kỳ kế hoạch hóa.
92,Thiết bị y tế di động,"Bộ dụng cụ y tế sơ cứu, hộp thuốc cá nhân và dụng cụ khử trùng cơ bản.
Sử dụng trong tuyến đầu điều trị và sơ cứu chiến trường.
Phát hiện trong di tích bệnh viện dã chiến.",Kháng chiến,Hỗ trợ y tế trong điều kiện chiến tranh; minh chứng nỗ lực chăm sóc sức khỏe.
93,"Sổ tiết kiệm, tem phiếu","Sổ tiết kiệm ngân hàng và tem phiếu mua hàng thời bao cấp.
Phản ánh cơ chế phân phối và quản lý tiêu dùng thời khó khăn.
Tài liệu xã hội học quan trọng.",Bao cấp,Công cụ kinh tế và xã hội; minh chứng cơ chế phân phối thời kỳ cũ.
94,Bản đồ phát triển công nghiệp,"Bản đồ cho thấy vị trí khu công nghiệp, nhà máy và quy hoạch sản xuất.
Thể hiện chính sách công nghiệp hóa và kế hoạch phát triển địa phương.
Dùng trong quản lý và thu hút đầu tư.",Đổi mới – phát triển (1990s – nay),Tài liệu hoạch định kinh tế; minh họa tiến trình công nghiệp hóa.
95,Điện thoại di động cũ,"Điện thoại di động thời kỳ đầu, model nặng, màn hình đơn sắc và ăng-ten dài.
Biểu tượng giai đoạn bùng nổ công nghệ và thay đổi giao tiếp.
Thường được sưu tầm như hiện vật công nghệ.",1990s – 2000s,Thiết bị giao tiếp cá nhân; biểu trưng tiến trình hiện đại hóa và hội nhập công nghệ.
96,Máy tính để bàn cũ,"Thùng máy lớn, màn hình CRT, ổ đĩa floppy, dấu hiệu bước đầu tin học hóa.
Được sử dụng trong cơ quan, trường học và doanh nghiệp thời kỳ cuối thế kỷ XX.
Thể hiện quá trình ứng dụng công nghệ thông tin.",1990s – 2000s,Công cụ hành chính và giáo dục; minh chứng quá trình số hóa và hiện đại hóa.
97,Trống đồng Đông Sơn,"Làm bằng đồng, hình trụ, mặt trống trang trí hoa văn hình người, chim, thuyền.",Văn hóa Đông Sơn (khoảng thế kỷ 7 TCN – thế kỷ 1 SCN).,"Dùng trong nghi lễ, biểu tượng quyền lực và văn hóa."
98,Kiếm ngọc thời Lý,"Lưỡi kiếm bằng đồng, chuôi gắn ngọc, chạm khắc tinh xảo.",Nhà Lý (1009–1225),"Vật phẩm nghi lễ, biểu tượng hoàng quyền."
99,Sắc phong vua Minh Mạng,"Giấy sắc phong viết bằng chữ Hán, đóng dấu triện đỏ.",Triều Nguyễn (thế kỷ 19).,Văn bản hành chính phong chức cho quan lại hoặc thần dân.
100,Áo dài của nữ chiến sĩ cách mạng,"Áo dài truyền thống, màu nâu, vải thô, có dấu vết sử dụng.",Kháng chiến chống Pháp (1945–1954).,Trang phục thường nhật của cán bộ hoạt động bí mật.
101,Chủ tịch Bảo tàng Huy THÁI,Giám đốc Bảo tàng Lịch HT ,Phạm văn huy,0987654321,
